epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4163.8,1.52244,0.90962,0.99442,0.32383,0.000237788,0.000237788,0.000237788
2,4399.29,0.65615,0.93327,0.99821,0.21896,0.000456947,0.000456947,0.000456947
3,4630.19,0.56863,0.93796,0.99777,0.19396,0.000657256,0.000657256,0.000657256
4,4855.92,0.48715,0.91877,0.99755,0.25058,0.000629177,0.000629177,0.000629177
5,5082.83,0.4022,0.96898,0.99821,0.10829,0.000600902,0.000600902,0.000600902
6,5309.42,0.35136,0.97768,0.99888,0.08347,0.000572628,0.000572628,0.000572628
7,5534.34,0.30433,0.97858,0.99933,0.07445,0.000544354,0.000544354,0.000544354
8,5760.02,0.28243,0.9788,0.99933,0.06625,0.000516079,0.000516079,0.000516079
9,5987.67,0.24481,0.98728,0.99955,0.05306,0.000487805,0.000487805,0.000487805
10,6215.91,0.21639,0.98683,0.99911,0.04948,0.00045953,0.00045953,0.00045953
11,6444.58,0.19996,0.98973,0.99933,0.03929,0.000431256,0.000431256,0.000431256
12,6680.9,0.1912,0.98973,0.99888,0.03553,0.000402982,0.000402982,0.000402982
13,7062.51,0.17489,0.99085,0.99955,0.03785,0.000374707,0.000374707,0.000374707
14,7295.95,0.15868,0.99152,0.99978,0.03232,0.000346433,0.000346433,0.000346433
15,7528.79,0.14507,0.99152,0.99933,0.03037,0.000318158,0.000318158,0.000318158
16,7765.87,0.13872,0.99308,0.99955,0.02594,0.000289884,0.000289884,0.000289884
17,8004.66,0.12027,0.99375,0.99933,0.03026,0.00026161,0.00026161,0.00026161
18,8240.86,0.11619,0.99464,0.99955,0.02589,0.000233335,0.000233335,0.000233335
19,8469.52,0.10971,0.99487,0.99955,0.025,0.000205061,0.000205061,0.000205061
20,8706.08,0.09773,0.99531,0.99978,0.02182,0.000176786,0.000176786,0.000176786
21,8935.2,0.09003,0.99554,0.99978,0.0188,0.000148512,0.000148512,0.000148512
22,9164.98,0.08005,0.99531,0.99978,0.01891,0.000120238,0.000120238,0.000120238
23,9394.09,0.07215,0.99576,0.99978,0.01793,9.19632e-05,9.19632e-05,9.19632e-05
24,9625.2,0.06986,0.99621,0.99978,0.01569,6.36888e-05,6.36888e-05,6.36888e-05
25,9855.77,0.06738,0.99643,0.99978,0.01517,3.54144e-05,3.54144e-05,3.54144e-05
